Date,preds
2018-11-14,268.36053
2018-11-15,266.08078
2018-11-16,264.79587
2018-11-19,261.91547
2018-11-20,262.17737
2018-11-21,262.90613
2018-11-23,259.69595
2018-11-26,261.18933
2018-11-27,262.47128
2018-11-28,261.9719
2018-11-29,262.0132
2018-11-30,259.81357
2018-12-03,261.78577
2018-12-04,263.0149
2018-12-06,264.20007
2018-12-07,261.88916
2018-12-10,258.32718
2018-12-11,257.56833
2018-12-12,256.33945
2018-12-13,257.24283
2018-12-14,257.50684
2018-12-17,257.3398
2018-12-18,254.62296
2018-12-19,251.04587
2018-12-20,250.46318
2018-12-21,247.14963
2018-12-24,244.21658
2018-12-26,241.95212
2018-12-27,242.01471
2018-12-28,240.69336
2018-12-31,241.83461
2019-01-02,244.54932
2019-01-03,246.07909
2019-01-04,246.33536
2019-01-07,245.41112
2019-01-08,246.13925
2019-01-09,248.7715
2019-01-10,250.64948
2019-01-11,250.97588
2019-01-14,250.84012
2019-01-15,252.84097
2019-01-16,253.04553
2019-01-17,253.03096
2019-01-18,253.5513
2019-01-22,253.61406
2019-01-23,254.69048
2019-01-24,254.29294
2019-01-25,255.59807
2019-01-28,256.4616
2019-01-29,256.6421
2019-01-30,256.80988
2019-01-31,257.33728
2019-02-01,256.14557
2019-02-04,256.4211
2019-02-05,258.28894
2019-02-06,260.09872
2019-02-07,261.11853
2019-02-08,261.7213
2019-02-11,260.21445
2019-02-12,260.40338
2019-02-13,261.19318
2019-02-14,261.98718
2019-02-15,262.82797
2019-02-19,262.5874
2019-02-20,263.76526
2019-02-21,265.28455
2019-02-22,266.01758
2019-02-25,265.99875
2019-02-26,265.9857
2019-02-27,266.05533
2019-02-28,266.21643
2019-03-01,266.12012
2019-03-04,265.8977
2019-03-05,265.88174
2019-03-06,265.5995
2019-03-07,266.85303
2019-03-08,266.27927
2019-03-11,264.05444
2019-03-12,262.81326
2019-03-13,264.59125
2019-03-14,266.28625
2019-03-15,267.31525
2019-03-18,267.9563
2019-03-19,266.54
2019-03-20,268.23868
2019-03-21,268.57315
2019-03-22,267.12527
2019-03-25,267.89337
2019-03-26,265.93015
2019-03-27,267.1514
2019-03-28,268.66183
2019-03-29,268.49493
2019-04-01,269.67645
2019-04-02,269.55783
2019-04-03,270.27856
2019-04-04,271.997
2019-04-05,271.73114
2019-04-08,272.2621
2019-04-09,273.37708
2019-04-10,274.14548
2019-04-11,273.67014
2019-04-12,274.0259
2019-04-15,274.44058
2019-04-16,275.0001
2019-04-17,275.79462
2019-04-18,275.90607
2019-04-22,276.2713
2019-04-23,275.5663
2019-04-24,276.43863
2019-04-25,277.08725
2019-04-26,277.74432
2019-04-29,278.0728
2019-04-30,278.69464
2019-05-01,280.71487
2019-05-02,280.48956
2019-05-03,279.73062
2019-05-06,280.0451
2019-05-07,281.21188
2019-05-08,279.7352
2019-05-09,277.5471
2019-05-10,277.66028
2019-05-13,275.29987
2019-05-14,275.57944
2019-05-15,271.90543
2019-05-16,273.55508
2019-05-17,274.3684
2019-05-20,276.48166
2019-05-21,275.97592
2019-05-22,276.41354
2019-05-23,277.4407
2019-05-24,277.63525
2019-05-28,275.12543
2019-05-29,276.05646
2019-05-30,275.2657
2019-05-31,272.92984
2019-06-03,273.48154
2019-06-04,271.61758
2019-06-05,270.39017
2019-06-06,272.2045
2019-06-07,274.30615
2019-06-10,275.82175
2019-06-11,277.08408
2019-06-12,278.80432
2019-06-13,279.29688
2019-06-14,279.82535
2019-06-17,280.44162
2019-06-18,280.68738
2019-06-19,281.20386
2019-06-20,279.43567
2019-06-21,279.53793
2019-06-24,279.54288
2019-06-25,280.56958
2019-06-26,281.7608
2019-06-27,280.562
2019-06-28,280.74506
2019-07-01,281.09573
2019-07-02,281.3878
2019-07-03,281.30972
2019-07-05,282.40585
2019-07-08,285.13275
2019-07-09,284.98877
2019-07-10,285.935
2019-07-11,286.06906
2019-07-12,285.66058
2019-07-15,285.66534
2019-07-16,286.9271
2019-07-17,287.97882
2019-07-18,288.01184
2019-07-19,287.84628
2019-07-22,286.35318
2019-07-23,285.8297
2019-07-24,286.36926
2019-07-25,286.2336
2019-07-26,287.18573
2019-07-29,287.38623
2019-07-30,288.73917
2019-07-31,289.36038
2019-08-01,288.63675
2019-08-02,286.67468
2019-08-05,282.68704
2019-08-06,283.22684
2019-08-07,279.58716
2019-08-08,281.55145
2019-08-09,281.0252
2019-08-12,284.45367
2019-08-13,285.49652
2019-08-14,284.40436
2019-08-15,283.04706
2019-08-16,281.01065
2019-08-19,281.53534
2019-08-20,283.4665
2019-08-21,285.86636
2019-08-22,286.82278
2019-08-23,287.28683
2019-08-26,287.46582
2019-08-27,283.12802
2019-08-28,284.04236
2019-08-29,284.41916
2019-08-30,284.7118
2019-09-03,286.54355
2019-09-04,287.4406
2019-09-05,286.60928
2019-09-06,286.61877
2019-09-09,286.91718
2019-09-10,289.44925
2019-09-11,290.18207
2019-09-12,290.39474
2019-09-13,290.83612
2019-09-16,290.98526
2019-09-17,291.774
2019-09-18,291.21738
2019-09-19,290.63916
